"Track Title","Composer","Track ID"
"Put Your Drinks Up","Andrew John Kim;Derek Yopp;Jujuan Gailey","BB_BB_0013_00101"
"On The Floor Tonight","Allen Maldonaldo;C. Andyman;T. Winkie","BB_BB_0013_01001"
"Don't Wanna Hurt U","Andrew John Kim;Derek Yopp;Jujuan Gailey","BB_BB_0013_01101"
"Don't Wanna Hurt U","Andrew John Kim;Derek Yopp;Jujuan Gailey","BB_BB_0013_01201"
"Come With Me","Allen Maldonaldo;Elchilo Laranas","BB_BB_0013_01301"
"Come With Me","Allen Maldonaldo;Elchilo Laranas","BB_BB_0013_01401"
"Where Did You Go","C. Andyman;T. Winkie;Douglas Jones","BB_BB_0013_01501"
"Where Did You Go","C. Andyman;T. Winkie;Douglas Jones","BB_BB_0013_01601"
"Give It To Me","Allen Maldonaldo;C. Andyman;T. Winkie","BB_BB_0013_01701"
"Give It To Me","Allen Maldonaldo;C. Andyman;T. Winkie","BB_BB_0013_01801"
"If Thoughts Could Talk","Allen Maldonaldo;Elchilo Laranas","BB_BB_0013_01901"
"Put Your Drinks Up","Andrew John Kim;Derek Yopp;Jujuan Gailey","BB_BB_0013_00201"
"If Thoughts Could Talk","Allen Maldonaldo;Elchilo Laranas","BB_BB_0013_02001"
"Put Your Drinks Up","Andrew John Kim;Derek Yopp;Jujuan Gailey","BB_BB_0013_02101"
"Turn It Up","Elchilo Laranas;Lee Otis Burgess","BB_BB_0013_02201"
"You Nasty","Allen Maldonaldo;Elchilo Laranas","BB_BB_0013_02301"
"Never Too Far Away","Salim Grant;C. Andyman;T. Winkie;Douglas Jones","BB_BB_0013_02401"
"On The Floor Tonight","Allen Maldonaldo;C. Andyman;T. Winkie","BB_BB_0013_02501"
"Don't Wanna Hurt U","Allen Maldonaldo;Elchilo Laranas","BB_BB_0013_02601"
"Come With Me","Allen Maldonaldo;Elchilo Laranas","BB_BB_0013_02701"
"Where Did You Go","C. Andyman;T. Winkie;Douglas Jones","BB_BB_0013_02801"
"Give It To Me","Allen Maldonaldo;C. Andyman;T. Winkie","BB_BB_0013_02901"
"Turn It Up","Elchilo Laranas;Lee Otis Burgess","BB_BB_0013_00301"
"If Thoughts Could Talk","Allen Maldonaldo;Elchilo Laranas","BB_BB_0013_03001"
"Put Your Drinks Up","Andrew John Kim;Derek Yopp;Jujuan Gailey","BB_BB_0013_03101"
"Turn It Up","Elchilo Laranas;Lee Otis Burgess","BB_BB_0013_03201"
"You Nasty","Allen Maldonaldo;Elchilo Laranas","BB_BB_0013_03301"
